Change Component Designator: OldDesignator=C1000 NewDesignator=C170
Change Component Designator: OldDesignator=C1001 NewDesignator=C171
Change Component Designator: OldDesignator=C1002 NewDesignator=C172
Change Component Designator: OldDesignator=C1003 NewDesignator=C173
Change Component Designator: OldDesignator=C1004 NewDesignator=C174
Change Component Designator: OldDesignator=C1005 NewDesignator=C175
Change Component Designator: OldDesignator=C1006 NewDesignator=C176
Change Component Designator: OldDesignator=C1007 NewDesignator=C177
Change Component Designator: OldDesignator=C1008 NewDesignator=C178
Change Component Designator: OldDesignator=C1009 NewDesignator=C179
Change Component Designator: OldDesignator=C1010 NewDesignator=C180
Change Component Designator: OldDesignator=C1011 NewDesignator=C181
Change Component Designator: OldDesignator=C1012 NewDesignator=C182
Change Component Designator: OldDesignator=C1013 NewDesignator=C183
Change Component Designator: OldDesignator=C1014 NewDesignator=C184
Change Component Designator: OldDesignator=C1015 NewDesignator=C185
Change Component Designator: OldDesignator=C1016 NewDesignator=C186
Change Component Designator: OldDesignator=C1017 NewDesignator=C187
Change Component Designator: OldDesignator=C1018 NewDesignator=C188
Change Component Designator: OldDesignator=C1019 NewDesignator=C189
Change Component Designator: OldDesignator=C1020 NewDesignator=C190
Change Component Designator: OldDesignator=C1021 NewDesignator=C191
Change Component Designator: OldDesignator=C1022 NewDesignator=C192
Change Component Designator: OldDesignator=C1023 NewDesignator=C193
Change Component Designator: OldDesignator=C1024 NewDesignator=C194
Change Component Designator: OldDesignator=D1000 NewDesignator=D53
Change Component Designator: OldDesignator=D1001 NewDesignator=D54
Change Component Designator: OldDesignator=D1002 NewDesignator=D55
Change Component Designator: OldDesignator=D1003 NewDesignator=D56
Change Component Designator: OldDesignator=D1004 NewDesignator=D57
Change Component Designator: OldDesignator=D1005 NewDesignator=D58
Change Component Designator: OldDesignator=D1006 NewDesignator=D59
Change Component Designator: OldDesignator=D1007 NewDesignator=D60
Change Component Designator: OldDesignator=FB1000 NewDesignator=FB26
Change Component Designator: OldDesignator=FB1001 NewDesignator=FB27
Change Component Designator: OldDesignator=FB1002 NewDesignator=FB28
Change Component Designator: OldDesignator=FB1003 NewDesignator=FB29
Change Component Designator: OldDesignator=R1000 NewDesignator=R95
Change Component Designator: OldDesignator=R1001 NewDesignator=R96
Change Component Designator: OldDesignator=R1002 NewDesignator=R97
Change Component Designator: OldDesignator=R1003 NewDesignator=R98
Change Component Designator: OldDesignator=R1004 NewDesignator=R99
Change Component Designator: OldDesignator=R1005 NewDesignator=R100
Change Component Designator: OldDesignator=R1006 NewDesignator=R101
Change Component Designator: OldDesignator=R1007 NewDesignator=R102
Change Component Designator: OldDesignator=R1008 NewDesignator=R103
Change Component Designator: OldDesignator=T1000 NewDesignator=T7
Change Component Designator: OldDesignator=U1000 NewDesignator=U27
Change Component Designator: OldDesignator=U1001 NewDesignator=U28
Change Component Designator: OldDesignator=U1002 NewDesignator=U29
Change Component Designator: OldDesignator=U1003 NewDesignator=U30
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C181 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C182 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C183 Cap 0805
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C184 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C185 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C186 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C187 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C188 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C189 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C190 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C191 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C192 Cap 0805
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C193 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component C194 Cap 0603_new
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D53 Diode_ESD
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D54 Diode_ESD
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D55 Diode MBR0520
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D56 LED
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D57 Diode Zener POWERDI123
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D58 Diode MBR0520
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D59 LED
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component D60 Diode Zener POWERDI123
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component FB26 Ferrite bead
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component FB27 Ferrite bead
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component FB28 Ferrite bead
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component FB29 Ferrite bead
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R95 NC
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R96 Resistor 1206
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R97 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R98 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R99 Resistor 1206
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R100 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R101 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R102 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component R103 Resistor 0603
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component T7 750313769
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component U27 AMC1100
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component U28 TLV70450DBV
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component U29 SN6501
Added Member To Class: ClassName=Out_current_sensor_UVW Member=Component U30 TPS7A30
